INVENT_ID,UTM_E,UTM_N,TAMBON,DISTRICT,PROVINCE,YEAR_DATA,REMARK,REMARK_2,LONGITUDE,LATITUDE
25981,709660,2125192,ภูคา,ปัว,น่าน,0, , ,100.99421087965224,19.20934405072273
25982,709811,2125184,ภูคา,ปัว,น่าน,0, , ,100.99564561904229,19.20925616472077
25983,709742,2125058,ภูคา,ปัว,น่าน,0, , ,100.9949758828483,19.208125279644843
25984,709717,2125272,ภูคา,ปัว,น่าน,0, , ,100.99476151555123,19.21006070983316
25985,709930,2125272,ภูคา,ปัว,น่าน,0, , ,100.99678659094526,19.21003865174844
25986,708340,2125117,ภูคา,ปัว,น่าน,0, , ,100.9816529874569,19.208802804204744
25987,708301,2125195,ภูคา,ปัว,น่าน,0, , ,100.98129063924223,19.209511313640984
25988,708353,2125328,ภูคา,ปัว,น่าน,0, , ,100.98179942339605,19.21070722913459
25989,708393,2125334,ภูคา,ปัว,น่าน,0, , ,100.98218037357904,19.21075730749114
25990,708373,2125397,ภูคา,ปัว,น่าน,0, , ,100.98199704388007,19.211328383270978
25991,708444,2125479,ภูคา,ปัว,น่าน,0, , ,100.98268096076369,19.21206170679233
25992,710053,2125110,ภูคา,ปัว,น่าน,0, , ,100.99793832128047,19.208562726746084
25993,709675,2124600,ภูคา,ปัว,น่าน,0, , ,100.99428901523774,19.203995566541995
25994,709755,2124612,ภูคา,ปัว,น่าน,0, , ,100.99505088680704,19.204095672646474
25995,709041,2124363,ภูคา,ปัว,น่าน,0, , ,100.9882358009856,19.201920467356395
25996,709106,2124495,ภูคา,ปัว,น่าน,0, , ,100.98886808755512,19.203105988954196
25997,709028,2124577,ภูคา,ปัว,น่าน,0, , ,100.98813543980069,19.20385465972414
25998,708403,2124446,ภูคา,ปัว,น่าน,0, , ,100.98217932224574,19.2027358218555
25999,708600,2124743,ภูคา,ปัว,น่าน,0, , ,100.98408438624682,19.205398072990768
26000,710604,2125099,ภูคา,ปัว,น่าน,0, , ,101.00317562981142,19.208406182093974
26001,714095,2129184,ภูคา,ปัว,น่าน,0, , ,101.03681992346021,19.244934940233037
26002,713982,2129110,ภูคา,ปัว,น่าน,0, , ,101.03573714352352,19.244278554005835
26003,715008,2133648,ภูคา,ปัว,น่าน,0, , ,101.04600210424833,19.285155290978896
26004,710635,2120844,ภูคา,ปัว,น่าน,0, , ,101.00300532732199,19.169972022792724
26005,710596,2120705,ภูคา,ปัว,น่าน,0, , ,101.00261946047979,19.16872062383236
26006,710769,2120655,ภูคา,ปัว,น่าน,0, , ,101.00425836090304,19.168251078357105
26007,710859,2120588,ภูคา,ปัว,น่าน,0, , ,101.00510648544383,19.167636594807274
26008,710960,2120481,ภูคา,ปัว,น่าน,0, , ,101.00605478482375,19.166659687186577
